city_ID_i,pop_i,unemp_i,pcinc_i,div_i,dem_i,lat_i,longt_i,cm_i,mc_i,co_i
5370000,198397,0.093234407,25377,0.541546544,0.556451579,47.252199,-122.459832,1,0,0
5373465,31144,0.08491135,29753,0.468812535,0.556451579,47.215326,-122.546731,1,0,0
5374060,161791,0.104659194,25792,0.331959797,0.557153808,45.637236,-122.596516,1,0,0
5380010,91067,0.110856454,20771,0.472976537,0.416998761,46.592211,-120.546838,1,0,0
5426452,18704,0.082875845,19452,0.202358294,0.359143284,39.476877,-80.149089,1,0,0
5486452,28486,0.074203956,21968,0.165696235,0.342547374,40.073906,-80.69537,1,0,0
5503225,8216,0.110673666,19796,0.235150807,0.585739414,46.58234,-90.870633,0,1,0
5506350,14570,0.037318754,27725,0.228243281,0.449355063,44.460771,-87.955938,1,0,0
5506500,36966,0.137949718,18145,0.481074294,0.449355063,42.523506,-89.01766,1,0,0
5506925,5524,0.07232608,22674,0.125805517,0.705997617,43.970632,-88.950143,1,0,0
5511200,10464,0.090909091,25989,0.136853897,0.486841115,42.67528,-88.271921,1,0,0
5513375,11412,0.026636569,34738,0.072296593,0.339874528,43.298547,-87.989107,0,1,0
5519450,8463,0.082342771,20024,0.316193116,0.422061822,42.628793,-88.631654,0,1,0
5533100,9110,0.069463415,33474,0.094738005,0.356572811,43.102318,-88.335507,1,0,0
5535950,17399,0.049015411,27610,0.119585201,0.482222391,44.568621,-88.071724,1,0,0
5537825,63575,0.086785725,23810,0.156587419,0.56359237,42.684698,-89.01317,1,0,0
5551000,35626,0.042052449,34048,0.158901917,0.56359237,44.8892,-91.90957,1,0,0
5554500,3988,0.07347973,24118,0.047864381,0.527980957,44.790723,-89.684582,1,0,0
5556925,7295,0.067673087,22419,0.129200533,0.39782436,44.39591,-88.73861,0,1,0
5560500,66083,0.062581148,21768,0.178149649,0.280781414,44.022628,-88.562352,1,0,0
5563250,11224,0.047346251,16523,0.101487626,0.32718897,42.733261,-90.470851,1,0,0
5566800,9200,0.07111282,22216,0.09124284,0.32718897,43.535062,-89.99738,0,1,0
5567475,11300,0.056046756,38281,0.061555361,0.32718897,43.23939,-88.234017,1,0,0
5578600,29364,0.053330086,31135,0.262885619,0.362886163,43.181961,-89.235717,0,1,0
5584250,70718,0.053343851,28197,0.218905908,0.467438235,43.009084,-88.245062,0,1,0
5600245,1911,0.053753475,19165,0.111453123,0.136922818,42.729395,-110.931646,0,1,0
