city_ID_i,pop_i,unemp_i,pcinc_i,div_i,dem_i,lat_i,longt_i,cm_i,mc_i,co_i
101852,26220,0.080252062,19286,0.524081709,0.356876478,33.67344,-85.810918,1,0,0
121184,63850,0.055068959,20180,0.440319379,0.27970378,31.233698,-85.406823,1,0,0
151000,209469,0.068577245,19590,0.524483486,0.482510148,32.346251,-86.268593,0,1,0
178552,32594,0.025502225,39303,0.116141958,0.533274506,33.462496,-86.739508,0,1,0
404720,38737,0.044124268,17135,0.508163568,0.394551317,33.313041,-112.329077,1,0,0
406260,7715,0.075984132,16617,0.304442186,0.394551317,31.398036,-109.931834,1,0,0
408220,32875,0.063486709,16231,0.255140379,0.544650076,35.129773,-114.561149,1,0,0
422220,10211,0.066712675,12390,0.443463273,0.431087377,33.590224,-112.327102,1,0,0
422360,12108,0.098422239,10527,0.567051518,0.431087377,32.743112,-111.59848,1,0,0
423620,58753,0.049026232,19960,0.357807537,0.431087377,35.185217,-111.620726,1,0,0
423760,10948,0.068245684,14115,0.540815598,0.431087377,33.051517,-111.412785,1,0,0
427050,1262,0.062111801,11858,0.507934908,0.431087377,32.948625,-112.70553,0,1,0
427820,228468,0.049580641,19207,0.401123723,0.431087377,33.533111,-112.189901,1,0,0
444270,28258,0.038769402,21749,0.259319815,0.431087377,32.465396,-111.139016,1,0,0
444410,2351,0.06626506,12545,0.513302097,0.431087377,33.045487,-112.015485,1,0,0
446000,434608,0.0428499,19557,0.309468442,0.431087377,33.401926,-111.717379,1,0,0
449640,21337,0.096108244,10366,0.364001369,0.431087377,31.362463,-110.933538,0,1,0
451600,32919,0.036332535,29891,0.144174504,0.35907932,32.422094,-110.976235,1,0,0
454050,116730,0.038970064,22775,0.255637209,0.454076265,33.787708,-112.3111,1,0,0
455000,1328638,0.05598811,19726,0.449869151,0.521354494,33.572162,-112.087966,1,0,0
457450,31347,0.049612165,17133,0.168104613,0.521354494,34.579376,-112.448176,1,0,0
458150,7661,0.041446674,19724,0.304727917,0.521354494,33.241183,-111.640283,1,0,0
465350,12079,0.046634695,30095,0.126655105,0.439850983,34.857323,-111.794933,1,0,0
467800,5755,0.077063383,13741,0.18803507,0.439850983,34.518972,-110.089988,1,0,0
471300,3288,0.153781513,12403,0.436101417,0.439850983,33.285146,-111.1103,0,1,0
471510,34883,0.055087545,21647,0.233328209,0.439850983,33.670612,-112.452674,1,0,0
477000,503036,0.059614496,16466,0.461975882,0.611094196,32.154289,-110.871062,1,0,0
482740,7770,0.027247956,20192,0.184737236,0.367317788,33.970393,-112.752672,1,0,0
483090,7247,0.098245614,13515,0.332877075,0.367317788,32.251646,-109.835734,1,0,0
485540,94905,0.102602331,16372,0.460094668,0.42101725,32.516261,-114.521811,1,0,0
524550,84304,0.050974218,19169,0.38249011,0.417909862,35.349276,-94.370883,1,0,0
533400,47049,0.060794639,18495,0.294353542,0.399411761,34.491992,-93.050809,1,0,0
568810,34264,0.070198501,16820,0.42975313,0.358829123,33.436343,-93.987116,1,0,0
600562,65504,0.041716465,31097,0.59272928,0.744942186,37.764471,-122.283273,1,0,0
600674,15176,0.019605499,29915,0.529914579,0.744942186,37.888621,-122.325662,1,0,0
600947,36715,0.024929,35094,0.377052623,0.744942186,33.577933,-117.729952,1,0,0
602000,328926,0.061660313,17916,0.597550029,0.744942186,33.855497,-117.760071,1,0,0
602252,92809,0.052325323,22812,0.511795357,0.744942186,37.977541,-121.797618,1,0,0
602364,56730,0.088730173,17703,0.392812671,0.744942186,34.533376,-117.210358,1,0,0
602462,54803,0.043772901,28231,0.587799373,0.744942186,34.132689,-118.036347,1,0,0
603526,314588,0.093880089,16634,0.553297251,0.744942186,35.321213,-119.018291,1,0,0
603666,76590,0.098091343,11633,0.622853317,0.3884185,34.082824,-117.971286,1,0,0
603820,25308,0.090398021,15827,0.557134754,0.630653472,33.946032,-116.899241,1,0,0
604030,29093,0.109158187,16187,0.560921607,0.630653472,34.866788,-117.043006,1,0,0
604758,14021,0.085544693,15893,0.421048209,0.630653472,33.863083,-116.950461,1,0,0
604982,72544,0.07970489,15974,0.670102615,0.630653472,33.887821,-118.12725,1,0,0
604996,43572,0.126548014,8421,0.528772719,0.630653472,33.964379,-118.154437,1,0,0
