city_ID_j,pop_j,unemp_j,pcinc_j,div_j,dem_i,lat_j,longt_j,cm_j,mc_j,co_j
2771734,10209,0.050861033,11485,0.119957564,0.4657,43.629119,-95.598858,0,1,0
2903160,31590,0.021630237,19932,0.064144794,0.46185,38.59503,-90.550006,0,1,0
2908650,5553,0.066305254,10168,0.043048394,0.46185,39.785329,-93.077967,1,0,0
2919252,13113,0.121922228,10694,0.030011142,0.3737,38.140996,-90.56083,1,0,0
2921898,7249,0.032931727,18885,0.051239393,0.4374,38.589478,-90.58832,0,1,0
2931276,26706,0.037764162,15786,0.215669837,0.34795,38.794845,-90.395834,1,0,0
2937000,45624,0.045750492,14869,0.189120238,0.53135,38.567461,-92.175254,1,0,0
2937592,48913,0.061161951,11340,0.088520293,0.53135,37.077509,-94.502262,1,0,0
2941348,50061,0.03722066,16678,0.06371758,0.3332,38.918958,-94.382768,1,0,0
2942032,19830,0.039296794,15960,0.06855305,0.46415,39.239312,-94.418892,1,0,0
2945668,21214,0.026378308,19790,0.070677467,0.3958,38.583169,-90.50644,1,0,0
2947648,13449,0.04379562,12105,0.15249213,0.47835,39.162169,-91.87277,1,0,0
2953624,7429,0.052602589,11366,0.017919362,0.3597,39.007033,-94.128441,1,0,0
2954074,29186,0.046160647,13961,0.045988469,0.37715,38.783504,-90.715351,1,0,0
2960752,7070,0.06320188,15817,0.059376699,0.4644,38.803303,-94.45832,0,1,0
2966440,25712,0.083386993,11176,0.101567607,0.4644,38.70397,-93.23463,0,1,0
2975220,39316,0.065139452,17288,0.529253755,0.4644,38.665659,-90.331498,1,0,0
2975688,3149,0.059904153,9695,0.216894555,0.4644,39.307965,-91.489341,1,0,0
2977092,18229,0.081286086,10202,0.182668998,0.4644,38.762118,-93.729967,1,0,0
3006550,92228,0.05267921,12794,0.097243715,0.3172,45.789518,-108.549891,1,0,0
3008950,27966,0.053671938,11204,0.075202176,0.35425,45.683155,-111.053784,1,0,0
3040075,19787,0.055225779,12514,0.047337022,0.3843,48.213846,-114.323523,1,0,0
3116410,4694,0.04,11363,0.004675851,0.24105,40.143525,-97.176502,0,1,0
3125055,26283,0.038988055,11345,0.050997257,0.35645,40.700414,-99.083699,1,0,0
3246000,2158,0.058380414,10473,0.170630538,0.4493,36.808342,-114.129148,1,0,0
3251800,54636,0.108555927,8604,0.622953285,0.4493,36.282974,-115.089262,1,0,0
3365140,26630,0.070798997,13395,0.024132975,0.499,43.298493,-70.977005,1,0,0
3421480,24850,0.053220485,25820,0.594352967,0.4755,40.891197,-73.972515,1,0,0
3459190,46566,0.086575089,14743,0.490328387,0.51415,40.615444,-74.415775,1,0,0
3501780,29162,0.091044038,11223,0.284898252,0.33855,32.883601,-105.963686,1,0,0
3532520,31376,0.075131309,10161,0.340240688,0.3477,32.730276,-103.16049,1,0,0
3563460,33108,0.053993251,12296,0.285243411,0.47955,35.285096,-106.698869,0,1,0
3603078,31241,0.089697406,10639,0.153834883,0.4324,42.93371,-76.567342,1,0,0
3604715,16310,0.045466221,12403,0.104211858,0.4086,42.998558,-78.180806,1,0,0
3612144,10721,0.06875111,14258,0.029381405,0.3617,42.888999,-77.280321,1,0,0
3656979,19536,0.051798561,16589,0.417444311,0.4101,41.287396,-73.923597,1,0,0
3659223,24740,0.058443403,15921,0.352142852,0.52785,41.004701,-73.667175,1,0,0
3659641,28833,0.069905869,14929,0.47308675,0.52785,41.694595,-73.919869,0,1,0
3701720,13325,0.038042131,13041,0.073626355,0.37065,35.90454,-79.965611,1,0,0
